File,Line,Index,Context
wiki/Master_of_Space_and_Time.html,109,391,"y:American science fiction novels"">Am"
wiki/Master_of_Space_and_Time.html,109,424,""">American science fiction novels</a>"
wiki/Master_of_Space_and_Time.html,109,609,gory:1980s_science_fiction_novel_stub
wiki/Master_of_Space_and_Time.html,109,660,gory:1980s science fiction novel stub
wiki/Master_of_Space_and_Time.html,109,695,"ubs"">1980s science fiction novel stub"
wiki/Urban_chicken.html,105,256,n Health &amp; Science University in 
wiki/AlMidan.html,277,48,University_for_Science_and_Technology
wiki/AlMidan.html,277,108,University for Science and Technology
wiki/AlMidan.html,277,161,University for Science and Technology
wiki/AlMidan.html,281,48,te_for_Applied_Science_and_Technology
wiki/AlMidan.html,281,128,te for Applied Science and Technology
wiki/AlMidan.html,281,181,te for Applied Science and Technology
wiki/Jules_Verne_ATV.html,208,507,"<a href=""/wiki/Science-fiction"" class"
wiki/Jules_Verne_ATV.html,208,551,"direct"" title=""Science-fiction"">scien"
wiki/Jules_Verne_ATV.html,208,568,"ience-fiction"">science-fiction</a> au"
wiki/Jules_Verne_ATV.html,427,231,p://www.futura-sciences.com/fr/news/t
wiki/Jules_Verne_ATV.html,427,427,"rench). Futura Sciences<span class=""r"
wiki/Jules_Verne_ATV.html,427,831,F%2Fwww.futura-sciences.com%2Ffr%2Fne
wiki/Jules_Verne_ATV.html,427,971,rft.pub=Futura+Sciences&amp;rft_val_f
wiki/Jules_Verne_ATV.html,941,60,"e_and_Physical_Sciences_in_Space"" tit"
wiki/Jules_Verne_ATV.html,941,127,"e and Physical Sciences in Space"">ELI"
wiki/Jules_Verne_ATV.html,982,29,"wiki/Planetary_Science_Archive"" title"
wiki/Jules_Verne_ATV.html,982,63,"tle=""Planetary Science Archive"">Plane"
wiki/Jules_Verne_ATV.html,982,90,"ive"">Planetary Science Archive</a></l"
wiki/Jules_Verne_ATV.html,1007,33,"g:0em 0.75em;"">Science</div>"
wiki/Jules_Verne_ATV.html,1033,43,"em;"">Planetary science</div>"
wiki/Pictogram.html,491,47,"hics_(computer_science)"" title=""Compu"
wiki/Pictogram.html,491,92,"hics (computer science)"">in computer "
wiki/Pictogram.html,491,114,")"">in computer science</a></li>"
wiki/Pictogram.html,497,27,"""/wiki/Imaging_science"" title=""Imagin"
wiki/Pictogram.html,497,51,"title=""Imaging science"">Imaging scien"
wiki/Pictogram.html,497,68,"ience"">Imaging science</a></li>"
wiki/Pictogram.html,499,31,"ki/Information_science"" title=""Inform"
wiki/Pictogram.html,499,59,"e=""Information science"">Information s"
wiki/Pictogram.html,499,80,"e"">Information science</a></li>"
wiki/Claire_Danes.html,110,628,"ate_of_Applied_Science"" class=""mw-red"
wiki/Claire_Danes.html,110,685,"ate of Applied Science"">Associate of "
wiki/Claire_Danes.html,110,715,ate of Applied Science</a> in Textile
wiki/Diplacus_aurantiacus.html,187,335,nia Academy of Sciences.</span></li>
wiki/Supermoon.html,6,664,"events"",""Lunar science"",""Moon""],""wgBr"
wiki/Supermoon.html,125,287,com/2014/09/09/science/revisiting-the
wiki/Supermoon.html,125,798,14%2F09%2F09%2Fscience%2Frevisiting-t
wiki/Supermoon.html,133,223,w.bbc.com/news/science-environment-34
wiki/Supermoon.html,133,761,c.com%2Fnews%2Fscience-environment-34
wiki/Supermoon.html,137,322,7035348/http://science.nasa.gov/scien
wiki/Supermoon.html,137,339,ience.nasa.gov/science-news/science-a
wiki/Supermoon.html,137,352,v/science-news/science-at-nasa/2011/1
wiki/Supermoon.html,137,417," Moon""</a>. <i>Science@NASA Headline "
wiki/Supermoon.html,137,522,""" href=""http://science.nasa.gov/scien"
wiki/Supermoon.html,137,539,ience.nasa.gov/science-news/science-a
wiki/Supermoon.html,137,552,v/science-news/science-at-nasa/2011/1
wiki/Supermoon.html,137,963,d=http%3A%2F%2Fscience.nasa.gov%2Fsci
wiki/Supermoon.html,137,982,nce.nasa.gov%2Fscience-news%2Fscience
wiki/Supermoon.html,137,997,science-news%2Fscience-at-nasa%2F2011
wiki/Supermoon.html,137,1056,amp;rft.jtitle=Science%40NASA+Headlin
wiki/Supermoon.html,140,247,""" href=""http://science.nasa.gov/scien"
wiki/Supermoon.html,140,264,ience.nasa.gov/science-news/science-a
wiki/Supermoon.html,140,277,v/science-news/science-at-nasa/2012/0
wiki/Supermoon.html,140,363,"""</a>. <i>NASA Science News</i>. <a h"
wiki/Supermoon.html,140,760,d=http%3A%2F%2Fscience.nasa.gov%2Fsci
wiki/Supermoon.html,140,779,nce.nasa.gov%2Fscience-news%2Fscience
wiki/Supermoon.html,140,794,science-news%2Fscience-at-nasa%2F2012
wiki/Supermoon.html,140,858,ft.jtitle=NASA+Science+News&amp;rft_v
wiki/Supermoon.html,149,225,ailymail.co.uk/sciencetech/article-13
wiki/Supermoon.html,149,852,lymail.co.uk%2Fsciencetech%2Farticle-
wiki/Supermoon.html,151,249,ent.co.uk/news/science/supermoon-bigg
wiki/Supermoon.html,151,854,co.uk%2Fnews%2Fscience%2Fsupermoon-bi
wiki/Supermoon.html,278,65,"lign: center;"">Science</th>"
wiki/Supermoon.html,398,437,"i/Portal:Earth_sciences"" title=""Porta"
wiki/Supermoon.html,398,467,"=""Portal:Earth sciences"">Earth scienc"
wiki/Supermoon.html,398,483,"ciences"">Earth sciences portal</a></b"
wiki/Supermoon.html,443,420,"gory:Lunar_science"" title=""Category:L"
wiki/Supermoon.html,443,451,"gory:Lunar science"">Lunar science</a>"
wiki/Supermoon.html,443,466,"nce"">Lunar science</a></li><li><a hre"
wiki/Louis_Vivet.html,111,463,lities and the Science of Memory</i><
wiki/Louis_Vivet.html,111,957,lities+and+the+Science+of+Memory&amp;
wiki/Louis_Vivet.html,117,493,lities and the Science of Memory</i><
wiki/Louis_Vivet.html,117,987,lities+and+the+Science+of+Memory&amp;
wiki/Kelvin_R._Throop.html,43,475,iki/Analog_Science_Fiction_and_Scienc
wiki/Kelvin_R._Throop.html,43,495,"iction_and_Science_Fact"" class=""mw-re"
wiki/Kelvin_R._Throop.html,43,543,"le=""Analog Science Fiction and Scienc"
wiki/Kelvin_R._Throop.html,43,563,"iction and Science Fact"">Analog Scien"
wiki/Kelvin_R._Throop.html,43,584,"ct"">Analog Science Fiction and Scienc"
wiki/Kelvin_R._Throop.html,43,604,iction and Science Fact</a></i> magaz
wiki/Kristiene_Gong.html,137,394,ying Political Science at Northeaster
wiki/Embraer_Unidade_GaviC3A3o_Peixoto_Airport.html,455,29,wiki/Brazilian_science_and_technology
wiki/Embraer_Unidade_GaviC3A3o_Peixoto_Airport.html,455,70,"tle=""Brazilian science and technology"
wiki/Embraer_Unidade_GaviC3A3o_Peixoto_Airport.html,455,94,"nd technology"">Science and technology"
wiki/Embraer_Unidade_GaviC3A3o_Peixoto_Airport.html,520,29,"wiki/Brazilian_science_fiction"" title"
wiki/Embraer_Unidade_GaviC3A3o_Peixoto_Airport.html,520,63,"tle=""Brazilian science fiction"">Scien"
wiki/Embraer_Unidade_GaviC3A3o_Peixoto_Airport.html,520,80,"ience fiction"">Science fiction</a></l"
wiki/Alex_Kurtzman.html,92,2161,"<a href=""/wiki/Science-fiction"" class"
wiki/Alex_Kurtzman.html,92,2205,"direct"" title=""Science-fiction"">scien"
wiki/Alex_Kurtzman.html,92,2222,"ience-fiction"">science-fiction</a> se"
wiki/Church_of_the_SubGenius.html,154,149, 1951 American science fiction film <
wiki/Church_of_the_SubGenius.html,281,106,the SubGenius: Science Fiction Mythos
wiki/Church_of_the_SubGenius.html,281,703,e+SubGenius%3A+Science+Fiction+Mythos
wiki/Regina_Pacis_Catholic_Secondary_School.html,188,415,"ssrooms, three science labs, a wide a"
wiki/List_of_women27s_football_clubs_in_Japan.html,137,32,i/Nippon_Sport_Science_University_Fie
wiki/List_of_women27s_football_clubs_in_Japan.html,137,88,"=""Nippon Sport Science University Fie"
wiki/List_of_women27s_football_clubs_in_Japan.html,137,137,""">Nippon Sport Science University Fie"
wiki/Bias.html,53,6,<p>In science and engineerin
wiki/Bias.html,116,432,"p id=""cite_ref-ScienceDaily_14-0"" cla"
wiki/Bias.html,116,489,"ef=""#cite_note-ScienceDaily-14"">[14]<"
wiki/Bias.html,136,153,"raming_(social_sciences)"" title=""Fram"
wiki/Bias.html,136,187,"raming (social sciences)"">Framing (so"
wiki/Bias.html,136,214,raming (social sciences)</a></div>
wiki/Bias.html,192,34,"i/Experimental_science"" class=""mw-red"
wiki/Bias.html,192,83,"=""Experimental science"">science resea"
wiki/Bias.html,192,92,"ental science"">science research</a>, "
wiki/Bias.html,211,108,"search"">social science research</a> w"
wiki/Bias.html,253,253,"d biases."". <i>Science</i>. <b>185</b"
wiki/Bias.html,253,449,".org/10.1126%2Fscience.185.4157.1124"""
wiki/Bias.html,253,480,".1124"">10.1126/science.185.4157.1124<"
wiki/Bias.html,253,982,oi%2F10.1126%2Fscience.185.4157.1124&
wiki/Bias.html,253,1072,amp;rft.jtitle=Science&amp;rft.pages=
wiki/Bias.html,256,18," id=""cite_note-ScienceDaily-14""><span"
wiki/Bias.html,256,88,"ref=""#cite_ref-ScienceDaily_14-0"">^</"
wiki/Bias.html,256,241,"ef=""http://www.sciencedaily.com/terms"
wiki/Bias.html,256,320,"n-making""</a>. Science Daily<span cla"
wiki/Bias.html,256,621,tp%3A%2F%2Fwww.sciencedaily.com%2Fter
wiki/Bias.html,258,448,DF)</span>. <i>Science</i>. <b>185</b
wiki/Bias.html,258,644,".org/10.1126%2Fscience.185.4157.1124"""
wiki/Bias.html,258,675,".1124"">10.1126/science.185.4157.1124<"
wiki/Bias.html,258,1282,oi%2F10.1126%2Fscience.185.4157.1124&
wiki/Bias.html,258,1372,amp;rft.jtitle=Science&amp;rft.pages=
wiki/Bias.html,261,262,heguardian.com/science/punctuated-equ
wiki/Bias.html,261,785,guardian.com%2Fscience%2Fpunctuated-e
wiki/Bias.html,310,500,"DF)</span>. <i>Science, Technology &a"
wiki/Bias.html,310,1204,amp;rft.jtitle=Science%2C+Technology+
wiki/Bias.html,311,200, <i>Influence: Science and Practice (
wiki/Bias.html,311,628,e=Influence%3A+Science+and+Practice+%
wiki/Bias.html,330,294,"vior and Brain Sciences</i>, <b>37</b"
wiki/Bias.html,330,1108,vior+and+Brain+Sciences&amp;rft.pages
wiki/Bias.html,332,396,"Bias"" Studies: Science or Propaganda<"
wiki/Bias.html,332,964,%22+Studies%3A+Science+or+Propaganda&
wiki/Bias.html,385,139,a of Political Science</i>. CQ Press.
wiki/Bias.html,385,586,a+of+Political+Science&amp;rft.date=2
wiki/Olive_Dennis.html,110,76,ry of Women in Science</i> (Taylor &a
wiki/Olive_Dennis.html,116,195,"ry of Women in Science</i>, p. 348.</"
wiki/Igor_and_Grichka_Bogdanoff.html,6,851,"nters"",""French science fiction writer"
wiki/Igor_and_Grichka_Bogdanoff.html,72,436,"<a href=""/wiki/Science_fiction"" title"
wiki/Igor_and_Grichka_Bogdanoff.html,72,460,"iction"" title=""Science fiction"">scien"
wiki/Igor_and_Grichka_Bogdanoff.html,72,477,"ience fiction"">science fiction</a>, p"
wiki/Igor_and_Grichka_Bogdanoff.html,72,506,"n</a>, popular science and <a href=""/"
wiki/Igor_and_Grichka_Bogdanoff.html,101,75,>Clefs pour la science-fiction</i>. R
wiki/Igor_and_Grichka_Bogdanoff.html,101,357,d a feature on science fiction. They 
wiki/Igor_and_Grichka_Bogdanoff.html,101,519,them a regular science fiction sectio
wiki/Igor_and_Grichka_Bogdanoff.html,102,386,"nd in 2008, <i>Science X</i> and <i>S"
wiki/Igor_and_Grichka_Bogdanoff.html,102,407,e X</i> and <i>Science 2</i> also on 
wiki/Igor_and_Grichka_Bogdanoff.html,102,556,esulting in <i>Science X</i> being di
wiki/Igor_and_Grichka_Bogdanoff.html,120,77,"<a href=""/wiki/Science_fiction"" title"
wiki/Igor_and_Grichka_Bogdanoff.html,120,101,"iction"" title=""Science fiction"">scien"
wiki/Igor_and_Grichka_Bogdanoff.html,120,118,"ience fiction"">science fiction</a>, <"
wiki/Igor_and_Grichka_Bogdanoff.html,120,227,"""/wiki/Popular_science"" title=""Popula"
wiki/Igor_and_Grichka_Bogdanoff.html,120,251,"title=""Popular science"">popular scien"
wiki/Igor_and_Grichka_Bogdanoff.html,120,268,"ience"">popular science</a>. Since 199"
wiki/Igor_and_Grichka_Bogdanoff.html,122,21,>Clefs pour la science-fiction</i> (e
wiki/Igor_and_Grichka_Bogdanoff.html,123,15,<li><i>L'Effet science-fiction: à la 
wiki/Igor_and_Grichka_Bogdanoff.html,127,18,><i>Dieu et la science: vers le métar
wiki/Igor_and_Grichka_Bogdanoff.html,204,364,"ory:French_science_fiction_writers"" t"
wiki/Igor_and_Grichka_Bogdanoff.html,204,412,"ory:French science fiction writers"">F"
wiki/Igor_and_Grichka_Bogdanoff.html,204,444,"rs"">French science fiction writers</a"
wiki/Thomas_Croci.html,88,504,"ki/Bachelor_of_Science"" title=""Bachel"
wiki/Thomas_Croci.html,88,532,"e=""Bachelor of Science"">Bachelor of S"
wiki/Thomas_Croci.html,88,553,"e"">Bachelor of Science</a> degree in "
wiki/Thomas_Croci.html,88,585,e in Political Science. After establi
wiki/Mariana_Mazzucato.html,119,178,"s Ministry for Science, Technology &a"
wiki/Mariana_Mazzucato.html,168,151,"logy, and Life Sciences</i>, Vol. 6 ("
wiki/Oldfield_Baby_Great_Lakes.html,151,165,"al""><i>Popular Science</i>. June 1970"
wiki/Oldfield_Baby_Great_Lakes.html,151,363,jtitle=Popular+Science&amp;rft_val_fm
wiki/Derek_Acorah.html,107,720,"wiki/Brainiac:_Science_Abuse"" title="""
wiki/Derek_Acorah.html,107,752,"tle=""Brainiac: Science Abuse"">Brainia"
wiki/Derek_Acorah.html,107,777,"use"">Brainiac: Science Abuse</a></i>,"
wiki/Land_26_Water_Australia.html,61,111,al in terms of science and policy und
wiki/Land_26_Water_Australia.html,65,137,ian Academy of Science's Shine Dome i
wiki/Land_26_Water_Australia.html,77,153,management and science in Australia a
wiki/Land_26_Water_Australia.html,152,58,"Innovation_and_Science"" title=""Depart"
wiki/Land_26_Water_Australia.html,152,113,"Innovation and Science"">Industry, Inn"
wiki/Land_26_Water_Australia.html,152,147,Innovation and Science</a></li>
wiki/83_(number).html,136,49,"""><a href=""#In_science""><span class="""
wiki/83_(number).html,136,116,"s=""toctext"">In science</span></a>"
wiki/83_(number).html,167,37,"adline"" id=""In_science"">In science</s"
wiki/83_(number).html,167,49,"In_science"">In science</span><span cl"
wiki/83_(number).html,167,232,"it section: In science"">edit</a><span"
wiki/Sierra_Leone_Studies.html,71,183,olonial Social Science Research Counc
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,160,82,"Communication, Science and Computer S"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,164,519, the Political Science students.</li>
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,165,144,e University's science building. Foun
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,165,430,and wonders of science particularly: 
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,169,18,><b>College of Science (COS)</b> - ha
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,169,100," of Biological Sciences, Physical Sci"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,169,119,"nces, Physical Sciences, Computer Stu"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,216,103," the fields of science, education, li"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,218,230,he 7 colleges: Science &amp; Technolo
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,482,38,"a_Salle_Health_Sciences_Institute"" ti"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,482,84,"a Salle Health Sciences Institute"">De"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,482,123,a Salle Health Sciences Institute</a>
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,641,38,"a_Salle_Health_Sciences_Institute"" ti"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,641,84,"a Salle Health Sciences Institute"">He"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,641,111,"titute"">Health Sciences</a></li>"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,801,38,"a_Salle_Health_Sciences_Institute"" ti"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,801,84,"a Salle Health Sciences Institute"">De"
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,801,123,a Salle Health Sciences Institute</a>
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,805,39,nal_College_of_Science_and_Technology
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,805,90,nal College of Science and Technology
wiki/De_La_Salle_University_E28093_DasmariC3B1as.html,805,134,nal College of Science and Technology
wiki/Paul_Maddrell.html,74,620,d <i>Spying on Science: Western Intel
wiki/Paul_Maddrell.html,79,14,<li>Spying on Science: Western Intel
wiki/Paul_Maddrell.html,95,63,"sion of German Science,"" Cold War Int"
wiki/Paul_Maddrell.html,110,111,"507"">Spying on Science on Oxford Univ"
wiki/Shpolskii_matrix.html,51,1193,.R. Academy of Science s</i> and <i>S
wiki/Shpolskii_matrix.html,63,225,".R. Academy of Sciences, volume 87, p"
wiki/Corporation_(university).html,161,775,sity_School_of_Science_and_Technology
wiki/Corporation_(university).html,161,853,sity School of Science and Technology
wiki/Corporation_(university).html,161,904,sity School of Science and Technology
wiki/1910_in_literature.html,115,27,"""/wiki/1910_in_science"" title=""1910 i"
wiki/1910_in_literature.html,115,51,"title=""1910 in science"">Science</a> <"
wiki/1910_in_literature.html,115,60,"10 in science"">Science</a> <i><a href"
wiki/1910_in_literature.html,253,133,"ref=""/wiki/The_Science_of_Getting_Ric"
wiki/1910_in_literature.html,253,169,"ch"" title=""The Science of Getting Ric"
wiki/1910_in_literature.html,253,198,"ting Rich"">The Science of Getting Ric"
wiki/1910_in_literature.html,280,162,"<a href=""/wiki/Science_fiction"" title"
wiki/1910_in_literature.html,280,186,"iction"" title=""Science fiction"">scien"
wiki/1910_in_literature.html,280,203,"ience fiction"">science fiction</a> (d"
wiki/SumbaE28093Flores_languages.html,121,475,titute for the Science of Human Histo
wiki/SumbaE28093Flores_languages.html,121,834,titute+for+the+Science+of+Human+Histo
wiki/SumbaE28093Flores_languages.html,122,490,titute for the Science of Human Histo
wiki/SumbaE28093Flores_languages.html,122,866,titute+for+the+Science+of+Human+Histo
wiki/Josh_West.html,85,62,"f=""/wiki/Earth_Sciences"" class=""mw-re"
wiki/Josh_West.html,85,105,""" title=""Earth Sciences"">Earth Scienc"
wiki/Josh_West.html,85,121,"ciences"">Earth Sciences</a> at the <a"
wiki/Maniitsoq_structure.html,48,476,e_of_Planetary_Science&amp;action=edi
wiki/Maniitsoq_structure.html,48,557,e of Planetary Science (page does not
wiki/Maniitsoq_structure.html,48,611,e of Planetary Science</a> in Moscow.
wiki/Maniitsoq_structure.html,79,240, and Planetary Science Letters</i>. 3
wiki/Maniitsoq_structure.html,79,968,+and+Planetary+Science+Letters&amp;rf
wiki/Maniitsoq_structure.html,82,394,amp; Planetary Science</i>. <b>48</b>
wiki/Maniitsoq_structure.html,82,1272,+%26+Planetary+Science&amp;rft.pages=
wiki/Tubular_Bells_II.html,172,373, references to science-fiction or spa
wiki/Sir_Run_Run_Shaw_Hospital.html,168,61,rsity_National_Science_Park&amp;actio
wiki/Sir_Run_Run_Shaw_Hospital.html,168,153,rsity National Science Park (page doe
wiki/Sir_Run_Run_Shaw_Hospital.html,168,198,"ist)"">National Science Park</a></li>"
wiki/Sir_Run_Run_Shaw_Hospital.html,203,42,"f_Mathematical_Sciences,_Zhejiang_Uni"
wiki/Sir_Run_Run_Shaw_Hospital.html,203,103,"f Mathematical Sciences, Zhejiang Uni"
wiki/Sir_Run_Run_Shaw_Hospital.html,205,55,"tute_of_Genome_Sciences,_Zhejiang_Uni"
wiki/Sir_Run_Run_Shaw_Hospital.html,205,129,"tute of Genome Sciences, Zhejiang Uni"
wiki/Sir_Run_Run_Shaw_Hospital.html,212,44,plinary_Social_Science_Research_Cente
wiki/Sir_Run_Run_Shaw_Hospital.html,212,122,plinary Social Science Research Cente
wiki/Sir_Run_Run_Shaw_Hospital.html,213,39,"tute_of_Insect_Sciences,_Zhejiang_Uni"
wiki/Sir_Run_Run_Shaw_Hospital.html,213,97,"tute of Insect Sciences, Zhejiang Uni"
wiki/Sir_Run_Run_Shaw_Hospital.html,217,55,"e_of_Vegetable_Science,_Zhejiang_Univ"
wiki/Sir_Run_Run_Shaw_Hospital.html,217,157,"e of Vegetable Science, Zhejiang Univ"
wiki/Sir_Run_Run_Shaw_Hospital.html,343,27,"""/wiki/Anzhong_Science_and_Technology"
wiki/Sir_Run_Run_Shaw_Hospital.html,343,81,"title=""Anzhong Science and Technology"
wiki/Lydia_VillaKomaroff.html,80,490, degree in the sciences (1975) and is
wiki/Lydia_VillaKomaroff.html,80,615,e Americans in Science (SACNAS).<sup 
wiki/Lydia_VillaKomaroff.html,122,147,e Americans in Science (SACNAS)<sup i
wiki/Lydia_VillaKomaroff.html,125,940,"/wiki/Women_in_science"" title=""Women "
wiki/Lydia_VillaKomaroff.html,125,965,"itle=""Women in science"">women in scie"
wiki/Lydia_VillaKomaroff.html,125,983,"ence"">women in science</a>, under the"
wiki/Lydia_VillaKomaroff.html,135,50, 1994 Forum on Science in the Nationa
wiki/Lydia_VillaKomaroff.html,135,122,wiki/Office_of_Science_and_Technology
wiki/Lydia_VillaKomaroff.html,135,170,"tle=""Office of Science and Technology"
wiki/Lydia_VillaKomaroff.html,135,211,"icy"">Office of Science and Technology"
wiki/Lydia_VillaKomaroff.html,137,26,talyst Award - Science Club for Girls
wiki/Lydia_VillaKomaroff.html,138,66,wiki/Museum_of_Science_and_Industry_(
wiki/Lydia_VillaKomaroff.html,138,133,"tle=""Museum of Science and Industry ("
wiki/Lydia_VillaKomaroff.html,138,173,"pa)"">Museum of Science and Industry ("
wiki/Lydia_VillaKomaroff.html,141,50,trepreneurs in Science &amp; Technolo
wiki/Lydia_VillaKomaroff.html,145,77,wiki/Office_of_Science_and_Technology
wiki/Lydia_VillaKomaroff.html,145,125,"tle=""Office of Science and Technology"
wiki/Lydia_VillaKomaroff.html,145,166,"icy"">Office of Science and Technology"
wiki/Lydia_VillaKomaroff.html,146,39,"MIT Program in Science, Technology &a"
wiki/Lydia_VillaKomaroff.html,151,66,"/wiki/National_Science_Foundation"" ti"
wiki/Lydia_VillaKomaroff.html,151,102,"itle=""National Science Foundation"">Na"
wiki/Lydia_VillaKomaroff.html,151,131,"tion"">National Science Foundation</a>"
wiki/Lydia_VillaKomaroff.html,154,67,"/wiki/National_Science_Foundation"" ti"
wiki/Lydia_VillaKomaroff.html,154,103,"itle=""National Science Foundation"">Na"
wiki/Lydia_VillaKomaroff.html,154,132,"tion"">National Science Foundation</a>"
wiki/Lydia_VillaKomaroff.html,154,193,Opportunity in Science and Engineerin
wiki/Lydia_VillaKomaroff.html,155,83,"Advancement_of_Science"" title=""Americ"
wiki/Lydia_VillaKomaroff.html,155,143,"Advancement of Science"">American Asso"
wiki/Lydia_VillaKomaroff.html,155,196,"Advancement of Science</a>, 2001-2005"
wiki/Lydia_VillaKomaroff.html,158,121,e Americans in Science</li>
wiki/Lydia_VillaKomaroff.html,164,189,"ee on Women in Science, Engineering, "
wiki/Lydia_VillaKomaroff.html,166,192,pansion of the Science and Engineerin
wiki/Lydia_VillaKomaroff.html,167,44,achusetts Life Sciences Center<sup id
wiki/Lydia_VillaKomaroff.html,171,58,"n_for_Women_in_Science"" title=""Associ"
wiki/Lydia_VillaKomaroff.html,171,99,"n for Women in Science"">Association f"
wiki/Lydia_VillaKomaroff.html,171,133,"n for Women in Science</a><sup id=""ci"
wiki/Lydia_VillaKomaroff.html,172,77,"Advancement_of_Science"" title=""Americ"
wiki/Lydia_VillaKomaroff.html,172,137,"Advancement of Science"">American Asso"
wiki/Lydia_VillaKomaroff.html,172,190,"Advancement of Science</a><sup id=""ci"
wiki/Lydia_VillaKomaroff.html,187,341,"s disease"". <i>Science</i>. <b>245</b"
wiki/Lydia_VillaKomaroff.html,187,528,".org/10.1126%2Fscience.2474201"">10.11"
wiki/Lydia_VillaKomaroff.html,187,553,"74201"">10.1126/science.2474201</a>. <"
wiki/Lydia_VillaKomaroff.html,187,1221,oi%2F10.1126%2Fscience.2474201&amp;rf
wiki/Lydia_VillaKomaroff.html,187,1285,amp;rft.jtitle=Science&amp;rft.pages=
wiki/Lydia_VillaKomaroff.html,190,329,rican Women of Science Since 1990.</i
wiki/Lydia_VillaKomaroff.html,190,657,rican+Women+of+Science+Since+1990.&am
wiki/Lydia_VillaKomaroff.html,191,730,://www.masslifesciences.com/about/boa
wiki/Lydia_VillaKomaroff.html,191,806,achusetts Life Sciences Center</i>. 2
wiki/Lydia_VillaKomaroff.html,191,1139,%2Fwww.masslifesciences.com%2Fabout%2
wiki/Lydia_VillaKomaroff.html,191,1205,achusetts+Life+Sciences+Center.&amp;r
wiki/Exploratorium_(film).html,6,644,"ry films about science"",""Documentary "
wiki/Exploratorium_(film).html,6,723,"ular culture"",""Science documentary fi"
wiki/Exploratorium_(film).html,76,265,loratorium</a> science museum in <a h
wiki/Exploratorium_(film).html,94,26,"=""/wiki/File:P_Science.png"" class=""im"
wiki/Exploratorium_(film).html,94,133,s/thumb/8/88/P_Science.png/40px-P_Sci
wiki/Exploratorium_(film).html,94,152,"nce.png/40px-P_Science.png"" width=""40"
wiki/Exploratorium_(film).html,94,250,s/thumb/8/88/P_Science.png/60px-P_Sci
wiki/Exploratorium_(film).html,94,269,"nce.png/60px-P_Science.png 1.5x, //up"
